neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,days_from_last_review,distance_to_city_center
Brooklyn,Prospect Heights,40.67628,-73.96425,Entire home/apt,90,5,1,0.02,1,0,1406,5.375813017844385
Queens,Elmhurst,40.73626,-73.87143,Entire home/apt,158,30,130,2.71,1,311,16,11.663746733796133
Manhattan,Harlem,40.80682,-73.95196,Entire home/apt,450,2,48,1.04,1,188,671,11.394452119173486
Queens,Ridgewood,40.70735,-73.90696,Entire home/apt,110,1,0,0.0,1,0,3025,8.391008568563596
Brooklyn,Park Slope,40.67128,-73.97863,Entire home/apt,100,5,0,0.0,1,0,3025,5.158563481038146
Brooklyn,Williamsburg,40.70995,-73.96722,Private room,130,1,13,0.28,1,188,792,3.2922014748014328
Queens,Long Island City,40.7631,-73.92936,Private room,70,3,137,2.84,1,8,15,8.550324656005193
Brooklyn,Greenpoint,40.72642,-73.94519,Private room,70,7,3,0.06,1,0,965,5.355876450628291
Manhattan,Upper West Side,40.7905,-73.97385,Entire home/apt,120,10,0,0.0,1,0,3025,9.04560159775388
Manhattan,Chelsea,40.74482,-73.99917,Entire home/apt,170,5,13,0.3,1,4,45,3.602288157692299
Manhattan,Upper West Side,40.78629,-73.98056,Entire home/apt,200,7,0,0.0,1,0,3025,8.439065435020439
Manhattan,East Village,40.73125,-73.98675,Entire home/apt,480,3,2,0.04,2,0,1072,2.615894572441307
Brooklyn,Greenpoint,40.7272,-73.95134,Entire home/apt,120,3,2,0.05,1,0,1063,4.887250320571501
Manhattan,East Village,40.72545,-73.98802,Entire home/apt,299,1,69,1.52,1,257,23,2.0691034808324944
Manhattan,Harlem,40.81882,-73.956,Entire home/apt,150,3,0,0.0,1,0,3025,12.50744839070367
Brooklyn,Kensington,40.64028,-73.97396,Private room,45,4,5,0.1,2,0,1393,8.496551549725861
Brooklyn,Prospect Heights,40.67958,-73.96956,Private room,70,2,4,0.09,1,0,1093,4.805699529148857
Brooklyn,Bedford-Stuyvesant,40.69381,-73.944,Private room,49,1,1,0.02,1,0,1450,5.648144678921556
Manhattan,East Village,40.72819,-73.98589,Private room,115,1,1,0.02,2,0,1432,2.4099167172414213
Manhattan,Harlem,40.82416,-73.94623,Private room,55,3,8,0.22,1,0,743,13.35644901250323
Brooklyn,Williamsburg,40.70909,-73.9256,Private room,55,1,1,0.02,1,0,1448,6.806414487586394
Manhattan,Chinatown,40.71431,-73.99142,Entire home/apt,250,30,48,1.83,2,341,71,1.2433454117655511
Brooklyn,South Slope,40.66691,-73.98658,Entire home/apt,399,3,11,0.31,1,18,184,5.3538544013399
Brooklyn,Cobble Hill,40.68628,-73.99681,Entire home/apt,198,3,1,0.09,1,5,324,3.045696504905173
Brooklyn,Bedford-Stuyvesant,40.68211,-73.94775,Entire home/apt,78,1,1,0.02,1,0,1431,5.9877339331327075
Brooklyn,Prospect Heights,40.67797,-73.9701,Entire home/apt,200,2,1,0.02,1,0,1281,4.915991348743226
Manhattan,East Village,40.7228,-73.98562,Entire home/apt,300,23,1,0.02,1,0,1449,2.0489870530262935
Brooklyn,Bushwick,40.70403,-73.91276,Entire home/apt,225,2,3,0.06,1,0,1319,7.93919352201613
Manhattan,SoHo,40.72268,-74.00269,Entire home/apt,650,2,24,0.51,1,23,10,1.13224281763849
Brooklyn,Greenpoint,40.72503,-73.93909,Private room,53,7,7,0.15,2,0,1217,5.814178113571735
Manhattan,Greenwich Village,40.73378,-73.99714,Entire home/apt,159,5,22,0.46,1,22,194,2.4470971791036336
Manhattan,Upper East Side,40.76164,-73.95995,Private room,65,30,3,0.08,9,342,64,6.674281313286822
Brooklyn,Bedford-Stuyvesant,40.68555,-73.94873,Private room,45,1,0,0.0,1,0,3025,5.708343478702033
Manhattan,Lower East Side,40.71894,-73.99205,Private room,120,3,86,1.82,3,99,33,1.361713206695012
Manhattan,Kips Bay,40.73813,-73.98098,Entire home/apt,280,1,4,0.09,1,225,1143,3.5185539696888566
Brooklyn,Clinton Hill,40.69387,-73.96841,Private room,60,2,42,0.87,1,0,694,3.809321264933209
Brooklyn,Crown Heights,40.67047,-73.95372,Private room,100,1,2,0.04,2,365,1370,6.4516639119582395
Manhattan,Hell's Kitchen,40.76146,-73.9896,Private room,160,5,5,0.13,1,0,953,5.578377494457221
Queens,Long Island City,40.75508,-73.92918,Private room,45,1,1,0.02,1,0,1450,8.009611091866024
Queens,Rego Park,40.72644,-73.85477,Private room,39,1,2,0.04,1,0,1401,12.866994040661927
Brooklyn,Bushwick,40.68992,-73.91408,Private room,50,1,0,0.0,1,0,3025,8.173449123264577
Manhattan,East Village,40.72947,-73.9813,Entire home/apt,120,4,21,1.23,1,9,15,2.789606141469186
Brooklyn,Prospect Heights,40.67885,-73.96838,Private room,99,1,8,0.17,2,0,1406,4.931918587053107
Manhattan,Upper West Side,40.78763,-73.97308,Private room,129,3,5,0.1,1,0,1382,8.762540197431033
Brooklyn,Bushwick,40.70174,-73.92662,Entire home/apt,350,3,58,1.21,1,81,29,6.819620019212027
Manhattan,Upper East Side,40.77016,-73.95716,Entire home/apt,300,1,1,0.02,1,0,1379,7.588872526586298
Brooklyn,Williamsburg,40.70521,-73.94258,Entire home/apt,140,2,4,0.08,1,0,554,5.425125239967459
Manhattan,East Village,40.72869,-73.97653,Entire home/apt,120,1,2,0.05,1,0,1234,3.051765530265767
Brooklyn,Crown Heights,40.66664,-73.92805,Private room,64,2,56,2.65,1,184,12,8.348080674160885
Brooklyn,Crown Heights,40.67464,-73.94276,Entire home/apt,120,2,2,0.04,1,0,1375,6.8212175335405565
Manhattan,Washington Heights,40.83769,-73.94207,Private room,40,7,12,0.27,1,48,23,14.8820730766454
Manhattan,Chinatown,40.71479,-73.99284,Entire home/apt,120,4,7,0.15,1,0,555,1.1337402395893443
Manhattan,Flatiron District,40.74145,-73.98828,Private room,95,1,0,0.0,1,0,3025,3.516141207098985
Brooklyn,Fort Greene,40.68794,-73.97393,Entire home/apt,150,3,10,0.21,1,0,1198,3.8687822866580492
Manhattan,Nolita,40.72044,-73.99568,Entire home/apt,650,6,14,0.29,1,90,378,1.2166159364397087
Manhattan,Upper West Side,40.80243,-73.9706,Private room,100,2,33,0.68,2,0,445,10.392533204534473
Queens,Bayside,40.76729,-73.77162,Entire home/apt,290,1,74,1.59,1,338,30,20.700997148005694
Brooklyn,Crown Heights,40.66539,-73.96041,Entire home/apt,120,3,5,0.11,1,0,995,6.524480484524779
Manhattan,Lower East Side,40.72157,-73.98489,Entire home/apt,130,2,0,0.0,1,0,3025,2.0322223502029457
Queens,Long Island City,40.76432,-73.93401,Private room,70,5,0,0.0,1,0,3025,8.349144039261185
Manhattan,West Village,40.73529,-74.00323,Entire home/apt,235,3,111,2.38,2,126,29,2.5084230145367505
Manhattan,Harlem,40.81024,-73.9525,Private room,95,1,10,0.21,1,0,903,11.725756972506161
Manhattan,Hell's Kitchen,40.75979,-73.99402,Private room,80,18,0,0.0,1,0,3025,5.315399940548784
Manhattan,East Village,40.72261,-73.98196,Entire home/apt,280,30,1,0.05,1,116,592,2.304906466815328
Manhattan,West Village,40.73545,-74.00686,Entire home/apt,195,2,30,0.62,1,189,378,2.516299511262191
Manhattan,Harlem,40.82196,-73.94247,Entire home/apt,100,3,14,0.29,1,0,543,13.255849430417744
Brooklyn,Greenpoint,40.72138,-73.94709,Entire home/apt,100,3,7,0.14,1,0,984,5.0679070840633145
Queens,Long Island City,40.75588,-73.93117,Entire home/apt,130,3,6,0.13,1,0,1277,7.92730083067351
Manhattan,East Village,40.72168,-73.98418,Entire home/apt,130,7,2,0.04,1,0,1386,2.0908058619568104
Brooklyn,Bedford-Stuyvesant,40.68398,-73.94101,Private room,125,4,27,0.57,2,312,122,6.3571527720634755
Brooklyn,Bedford-Stuyvesant,40.69169,-73.93142,Entire home/apt,130,4,34,0.73,2,340,72,6.72477773542822
Bronx,East Morrisania,40.82873,-73.89553,Entire home/apt,120,1,142,3.1,1,345,16,15.897272128343603
Manhattan,Upper West Side,40.79708,-73.969,Entire home/apt,180,2,3,0.06,3,70,66,9.866995263188873
Manhattan,East Harlem,40.7946,-73.93572,Private room,80,2,97,2.03,5,22,2,10.850793974020577
Manhattan,Civic Center,40.71645,-74.00402,Entire home/apt,250,2,2,0.04,1,0,1171,0.43849783527805514
Brooklyn,Williamsburg,40.71711,-73.94259,Private room,125,1,0,0.0,1,0,3025,5.379264310200207
Brooklyn,South Slope,40.66378,-73.97813,Entire home/apt,166,3,6,0.13,1,0,1037,5.931483800311175
Manhattan,Upper West Side,40.80304,-73.96582,Private room,64,4,1,0.02,1,0,1411,10.579876783621303
Brooklyn,Williamsburg,40.70794,-73.93976,Private room,35,5,1,0.03,1,0,1083,5.623396842836411
Manhattan,Harlem,40.80819,-73.94315,Entire home/apt,120,1,1,0.03,1,0,1091,11.84802058912566
Brooklyn,Park Slope,40.68006,-73.98053,Private room,60,2,7,0.16,1,0,991,4.225237622704976
Brooklyn,Williamsburg,40.71969,-73.9562,Entire home/apt,215,1,1,0.02,1,0,1437,4.276846070437824
Brooklyn,Park Slope,40.67618,-73.98122,Private room,58,1,211,5.13,2,178,2,4.574259250404138
Manhattan,Midtown,40.76579,-73.98057,Entire home/apt,260,5,0,0.0,1,0,3025,6.264252402160552
Brooklyn,Bushwick,40.69508,-73.91053,Private room,40,3,71,1.47,1,24,10,8.30471562896152
Manhattan,Harlem,40.82606,-73.94659,Private room,78,1,4,0.09,2,55,8,13.540725468616312
Manhattan,East Village,40.72492,-73.97914,Private room,80,6,1,0.02,1,0,1448,2.638532342489055
Manhattan,East Village,40.72962,-73.9836,Shared room,80,2,2,0.04,1,0,1410,2.659049661047856
Brooklyn,Bedford-Stuyvesant,40.68396,-73.92872,Entire home/apt,159,7,6,0.19,1,1,186,7.274443073347076
Brooklyn,Bushwick,40.70055,-73.92193,Private room,150,1,0,0.0,1,0,3025,7.233572944609863
Brooklyn,Bushwick,40.68833,-73.91676,Entire home/apt,89,5,0,0.0,1,0,3025,8.016685446335106
Manhattan,Lower East Side,40.72065,-73.98273,Private room,145,2,148,3.16,1,134,6,2.1507655972599995
Manhattan,Murray Hill,40.74823,-73.97447,Private room,130,1,2,0.04,1,0,1387,4.751260720688906
Brooklyn,Bedford-Stuyvesant,40.68725,-73.95472,Private room,50,1,0,0.0,1,0,3025,5.180087483130266
Brooklyn,Flatbush,40.64691,-73.95855,Entire home/apt,100,1,2,0.04,1,0,1287,8.344423702052817
Brooklyn,Bedford-Stuyvesant,40.68856,-73.9547,Private room,63,3,2,0.04,1,0,1420,5.103259869836461
Brooklyn,East Flatbush,40.64939,-73.94791,Private room,50,1,0,0.0,1,0,3025,8.584877434959674
Manhattan,Lower East Side,40.71729,-73.98442,Entire home/apt,189,5,21,0.47,1,239,22,1.890376080046703
Brooklyn,Flatbush,40.65349,-73.95527,Entire home/apt,99,7,2,0.04,1,0,1422,7.85940764560764
Manhattan,Chelsea,40.74627,-73.99142,Private room,150,1,0,0.0,1,0,3025,3.9155666743507904
Manhattan,East Harlem,40.80023,-73.93822,Private room,35,1,1,0.02,1,0,1448,11.270539931332097
Manhattan,Financial District,40.7078,-74.00914,Entire home/apt,200,1,6,0.13,1,0,690,0.6153839027913375
Manhattan,Harlem,40.82681,-73.9426,Private room,35,5,2,0.05,1,0,1253,13.74575497938195
Manhattan,Washington Heights,40.83428,-73.94446,Private room,60,1,1,0.02,1,0,1447,14.45613555143642
Brooklyn,Bedford-Stuyvesant,40.68889,-73.95406,Private room,80,2,8,0.17,1,281,316,5.130221033968834
Manhattan,Kips Bay,40.73943,-73.98135,Entire home/apt,199,3,20,0.42,1,0,123,3.616898748991595
Manhattan,East Harlem,40.78858,-73.94742,Entire home/apt,174,1,19,0.43,4,322,68,9.76174636367539
Brooklyn,Sheepshead Bay,40.59244,-73.95633,Private room,85,7,0,0.0,3,90,3025,14.010265720416179
Manhattan,Upper West Side,40.77976,-73.97837,Private room,120,7,11,1.16,1,362,30,7.793405961984041
Brooklyn,Bushwick,40.70178,-73.92829,Entire home/apt,98,4,1,0.02,1,0,1404,6.680033295820331
Manhattan,East Village,40.72423,-73.99013,Private room,119,2,4,0.08,1,0,1427,1.8463658950998265
Brooklyn,Bedford-Stuyvesant,40.6898,-73.95205,Private room,1600,1,0,0.0,1,0,3025,5.226156520551401
Brooklyn,Sunset Park,40.66196,-73.99177,Private room,75,1,113,2.33,2,233,21,5.772396210349905
Brooklyn,Bedford-Stuyvesant,40.68247,-73.94119,Entire home/apt,450,2,34,0.76,2,337,74,6.430287225075087
Brooklyn,East New York,40.65918,-73.89226,Private room,55,2,9,0.19,1,342,612,11.309252593666882
Brooklyn,Bedford-Stuyvesant,40.69143,-73.93436,Private room,64,1,24,0.5,1,0,1124,6.5029654459854545
Brooklyn,Williamsburg,40.70767,-73.94821,Private room,70,14,0,0.0,1,0,3025,4.916519323473638
Manhattan,West Village,40.72911,-74.00338,Private room,106,5,2,0.04,1,0,1284,1.824678341387013
Brooklyn,Williamsburg,40.70068,-73.94103,Private room,45,3,14,0.35,1,0,314,5.652977901552359
Manhattan,SoHo,40.7221,-74.00464,Private room,125,2,2,0.04,1,0,1369,1.039123831929265
Manhattan,Midtown,40.75277,-73.96686,Private room,70,1,2,0.04,1,0,1439,5.534713005751665
Manhattan,Harlem,40.81355,-73.94407,Private room,40,1,2,0.04,1,0,1425,12.349887022106707
Queens,Long Island City,40.74364,-73.95392,Entire home/apt,100,5,0,0.0,1,0,3025,5.575508124289975
Queens,Ditmars Steinway,40.77742,-73.90965,Private room,85,3,3,0.06,2,163,307,10.849646902925015
Brooklyn,Prospect Heights,40.67876,-73.9715,Entire home/apt,75,1,4,0.08,1,0,1319,4.7740801753766915
Manhattan,East Village,40.72164,-73.97927,Entire home/apt,175,1,9,0.24,1,31,1107,2.462635698570481
Manhattan,Lower East Side,40.72309,-73.98926,Private room,150,1,0,0.0,1,0,3025,1.8183213688845512
Manhattan,Hell's Kitchen,40.76171,-73.99478,Private room,150,1,1,0.02,1,0,1447,5.5134645243833535
Brooklyn,Sheepshead Bay,40.58294,-73.95897,Entire home/apt,129,2,45,0.93,5,256,16,14.959158114364932
Brooklyn,Bushwick,40.69927,-73.92133,Private room,60,1,0,0.0,1,0,3025,7.31132766549466
Brooklyn,Williamsburg,40.71058,-73.9672,Private room,80,2,74,1.64,1,210,36,3.287883752152679
Queens,Long Island City,40.75547,-73.92017,Private room,40,1,0,0.0,1,0,3025,8.66136270150463
Brooklyn,Bedford-Stuyvesant,40.69172,-73.95862,Private room,90,1,0,0.0,2,0,3025,4.638262846796396
Manhattan,Lower East Side,40.71508,-73.98973,Private room,120,1,18,0.37,1,0,1027,1.3979009553685973
Brooklyn,Bedford-Stuyvesant,40.68978,-73.94444,Entire home/apt,100,7,2,0.04,1,0,1402,5.7967776458551965
Queens,Astoria,40.76448,-73.92714,Entire home/apt,125,2,0,0.0,1,0,3025,8.792361637960004
Brooklyn,Williamsburg,40.7122,-73.9511,Private room,35,1,3,0.06,1,0,1395,4.639512320049825
Brooklyn,Williamsburg,40.71452,-73.95486,Entire home/apt,269,1,1,0.02,1,0,1422,4.3254591857306925
Manhattan,Gramercy,40.73448,-73.98056,Private room,45,30,2,0.04,1,0,1408,3.227346684316435
Manhattan,Upper West Side,40.79933,-73.95949,Entire home/apt,185,1,1,0.02,1,0,1406,10.380748764266176
Manhattan,Upper West Side,40.78015,-73.97875,Entire home/apt,120,30,2,0.08,1,200,649,7.8252380391953995
Manhattan,Lower East Side,40.71934,-73.98424,Private room,97,1,2,0.04,1,0,1288,1.9768549324745932
Manhattan,Murray Hill,40.74537,-73.97462,Entire home/apt,230,2,0,0.0,1,0,3025,4.4843215193338795
Brooklyn,Carroll Gardens,40.68189,-73.99695,Entire home/apt,150,1,6,0.12,1,0,1071,3.5166875773829314
Brooklyn,Crown Heights,40.67647,-73.94813,Entire home/apt,135,2,23,0.59,1,0,757,6.34042857576446
Brooklyn,Williamsburg,40.71576,-73.94468,Private room,45,5,0,0.0,1,0,3025,5.19179983784362
Brooklyn,Sunset Park,40.644,-74.01092,Private room,47,3,2,0.04,1,0,1345,7.651396005697414
Queens,Astoria,40.76778,-73.92201,Entire home/apt,120,1,3,0.06,1,0,1419,9.359706051514628
Brooklyn,Williamsburg,40.70649,-73.94505,Entire home/apt,100,1,11,0.23,1,0,1289,5.197924088812056
Manhattan,Morningside Heights,40.80419,-73.96268,Entire home/apt,60,1,0,0.0,1,0,3025,10.787907670547332
Manhattan,NoHo,40.72579,-73.99341,Entire home/apt,245,3,14,0.3,1,198,56,1.7923205514789324
Manhattan,Midtown,40.74603,-73.98364,Entire home/apt,150,3,1,0.02,1,0,1432,4.145511534999945
Manhattan,Midtown,40.76441,-73.98058,Entire home/apt,386,7,0,0.0,1,0,3025,6.120231985220332
Manhattan,Kips Bay,40.73774,-73.97343,Private room,95,28,1,0.03,1,72,1164,3.9040855413746547
Manhattan,Lower East Side,40.71546,-73.9896,Entire home/apt,120,4,3,0.08,1,0,1152,1.4168941936240234
Manhattan,Greenwich Village,40.7292,-74.00209,Private room,145,3,62,1.3,1,0,398,1.8509149497434183
Brooklyn,Williamsburg,40.71303,-73.9558,Entire home/apt,109,2,28,0.61,1,170,17,4.241935808493755
Brooklyn,Williamsburg,40.71376,-73.95293,Private room,80,3,2,0.04,1,0,1436,4.485614069379751
Brooklyn,Crown Heights,40.67358,-73.94351,Entire home/apt,105,1,7,0.15,1,0,301,6.845965442535422
Queens,Astoria,40.7722,-73.93105,Private room,37,1,0,0.0,1,0,3025,9.142501529919942
Brooklyn,Bedford-Stuyvesant,40.6846,-73.94478,Entire home/apt,125,3,130,2.72,1,217,3,6.048005058087004
Manhattan,Nolita,40.72411,-73.99563,Private room,80,2,1,0.02,1,0,1402,1.531381464387619
Manhattan,Upper West Side,40.77088,-73.98061,Entire home/apt,140,2,2,0.04,1,0,1316,6.796896947624851
Manhattan,East Village,40.72228,-73.9838,Entire home/apt,250,3,21,0.44,1,0,590,2.150977868845204
Brooklyn,Bedford-Stuyvesant,40.68148,-73.93145,Private room,79,1,0,0.0,1,0,3025,7.19708285474115
Manhattan,Lower East Side,40.71864,-73.98346,Entire home/apt,450,7,1,0.02,1,0,1360,2.011920110439016
Brooklyn,Greenpoint,40.72927,-73.95707,Entire home/apt,120,3,6,0.17,2,43,447,4.520557061986877
Manhattan,East Village,40.72163,-73.97888,Private room,100,1,0,0.0,1,0,3025,2.4924546307508173
Manhattan,Upper West Side,40.7777,-73.98796,Entire home/apt,150,1,1,0.02,1,0,1429,7.366371672880514
Manhattan,Gramercy,40.73579,-73.98175,Private room,200,1,0,0.0,1,0,3025,3.2734150855649737
Queens,Long Island City,40.75226,-73.94089,Entire home/apt,110,1,9,0.19,1,0,1382,7.032294701277816
Brooklyn,Gowanus,40.66892,-73.99136,Entire home/apt,165,3,178,3.7,1,134,16,5.027461175177619
Manhattan,Harlem,40.82622,-73.9498,Private room,69,31,1,0.03,4,64,913,13.459316249989111
Manhattan,Harlem,40.82605,-73.94783,Private room,69,31,3,0.08,4,32,282,13.501261261895868
Brooklyn,Flatbush,40.64213,-73.95298,Private room,180,1,22,0.5,2,89,961,9.03769931397184
Manhattan,Washington Heights,40.83523,-73.9398,Private room,40,1,2,0.05,1,0,1299,14.699643161907964
Brooklyn,Flatbush,40.64167,-73.95465,Private room,40,3,4,0.09,2,0,707,9.013249813803123
Queens,Springfield Gardens,40.67205,-73.75343,Private room,109,1,1,0.08,1,365,388,21.82282152340362
Manhattan,Tribeca,40.71928,-74.01125,Private room,100,1,15,0.34,2,0,761,0.8453378866275016
Brooklyn,Prospect-Lefferts Gardens,40.65628,-73.96014,Private room,70,5,3,0.06,2,0,1386,7.377186202214114
Manhattan,Murray Hill,40.74981,-73.9786,Entire home/apt,198,5,1,0.02,1,0,1395,4.7168787495179325
Brooklyn,Bushwick,40.69496,-73.93088,Private room,50,3,4,0.08,1,0,1290,6.650368343985671
Brooklyn,Bushwick,40.69644,-73.92707,Entire home/apt,130,2,106,2.2,1,210,31,6.913328838012053
Brooklyn,Bedford-Stuyvesant,40.67988,-73.92831,Entire home/apt,135,2,6,0.13,1,0,1310,7.515407593731358
Brooklyn,Bushwick,40.70647,-73.92093,Private room,35,20,0,0.0,1,0,3025,7.222983900524869
Manhattan,Upper West Side,40.79555,-73.96578,Entire home/apt,399,3,0,0.0,1,0,3025,9.796912096206976
Brooklyn,Flatbush,40.63198,-73.95988,Private room,108,2,59,1.24,1,344,16,9.785398441223872
Manhattan,Upper East Side,40.78271,-73.95288,Entire home/apt,595,2,30,0.63,1,332,20,8.96646282761589
Brooklyn,Park Slope,40.66835,-73.97981,Entire home/apt,129,5,2,0.04,1,0,1416,5.409776506606396
Manhattan,Harlem,40.80649,-73.95565,Private room,88,4,16,0.43,1,0,772,11.23936058147578
Queens,Flushing,40.76735,-73.81801,Private room,75,1,28,0.6,1,363,554,16.994821554815623
Brooklyn,Williamsburg,40.71723,-73.96285,Private room,85,1,0,0.0,1,0,3025,3.6790635517166517
Manhattan,Washington Heights,40.85619,-73.93117,Private room,70,1,2,0.06,1,145,948,17.130409799027536
Brooklyn,Greenpoint,40.73059,-73.95651,Entire home/apt,185,1,3,0.06,1,0,878,4.6245223447897885
Brooklyn,Clinton Hill,40.68128,-73.96286,Entire home/apt,145,3,5,0.1,1,0,1035,5.054317706436675
Brooklyn,Bedford-Stuyvesant,40.68686,-73.94973,Entire home/apt,150,1,1,0.02,3,0,1297,5.5600777734335605
Brooklyn,Flatbush,40.63767,-73.95637,Entire home/apt,50,21,0,0.0,1,0,3025,9.33877338994145
Brooklyn,Prospect Heights,40.67883,-73.97051,Private room,70,1,258,5.45,13,320,9,4.819555744648482
Brooklyn,East Flatbush,40.64563,-73.9419,Entire home/apt,150,2,36,0.77,1,248,39,9.219800925207037
Brooklyn,Williamsburg,40.7138,-73.96798,Private room,100,1,12,0.26,1,89,255,3.2145590770627446
Manhattan,Kips Bay,40.74085,-73.98153,Private room,69,1,1,0.02,1,0,1406,3.7384853455443325
Brooklyn,Prospect-Lefferts Gardens,40.6608,-73.95888,Entire home/apt,115,3,65,1.37,1,127,295,7.015001992093732
Manhattan,West Village,40.73778,-73.99941,Entire home/apt,120,5,17,0.56,1,28,15,2.829312595857167
Manhattan,Chinatown,40.71624,-73.99015,Entire home/apt,180,3,30,0.63,1,0,552,1.3926950676474548
Brooklyn,Bushwick,40.70222,-73.93294,Entire home/apt,147,3,109,2.5,2,191,8,6.284803768028502
Brooklyn,Bedford-Stuyvesant,40.68482,-73.95666,Entire home/apt,125,2,6,0.12,1,0,1414,5.200356356933961
Manhattan,Upper East Side,40.76205,-73.96382,Entire home/apt,328,2,145,3.05,1,298,27,6.527303083283769
Brooklyn,Bedford-Stuyvesant,40.68678,-73.9513,Entire home/apt,85,1,6,0.13,1,0,1318,5.4517238325547215
Brooklyn,Bay Ridge,40.63014,-74.027,Entire home/apt,60,7,10,0.21,1,0,337,9.349344892668372
Brooklyn,Bedford-Stuyvesant,40.68618,-73.93273,Private room,60,3,7,0.15,1,0,1356,6.86189210625314
Brooklyn,Williamsburg,40.70608,-73.9433,Private room,46,2,0,0.0,2,0,3025,5.350668064279077
Manhattan,Hell's Kitchen,40.75538,-73.99751,Private room,90,2,0,0.0,1,0,3025,4.782534528271164
Brooklyn,Williamsburg,40.70275,-73.93445,Entire home/apt,150,1,191,3.97,1,290,23,6.148516920463275
Brooklyn,Greenpoint,40.72435,-73.95154,Private room,95,1,119,2.57,2,1,15,4.77685026167096
Brooklyn,Crown Heights,40.66514,-73.95688,Entire home/apt,185,3,56,1.25,1,333,13,6.726873633924447
Brooklyn,Prospect Heights,40.68024,-73.96658,Private room,89,1,213,4.42,2,38,8,4.916724958911384
Brooklyn,Bedford-Stuyvesant,40.68906,-73.93751,Entire home/apt,67,2,149,4.08,1,142,15,6.360456164039546
Brooklyn,Flatbush,40.63968,-73.95215,Entire home/apt,125,3,105,2.67,1,195,14,9.309081193449789
Manhattan,Gramercy,40.73366,-73.98313,Private room,80,1,4,0.08,1,0,1292,3.016527194314777
Brooklyn,Williamsburg,40.70732,-73.95259,Entire home/apt,199,3,4,0.08,2,0,1282,4.5541354597407
Manhattan,Nolita,40.72261,-73.99333,Private room,79,12,0,0.0,2,0,3025,1.5273475198280557
Manhattan,Gramercy,40.73768,-73.98727,Entire home/apt,225,3,0,0.0,1,0,3025,3.1839403397027897
Brooklyn,Williamsburg,40.7128,-73.94175,Entire home/apt,125,1,0,0.0,1,0,3025,5.4290817097846045
Brooklyn,Williamsburg,40.70414,-73.93408,Entire home/apt,360,6,34,0.72,1,76,7,6.153199664426521
Brooklyn,Williamsburg,40.71332,-73.95291,Entire home/apt,200,3,1,0.02,1,0,1435,4.486423447367249
Queens,Sunnyside,40.74824,-73.91361,Private room,80,4,42,0.89,2,1,6,8.740934045145657
Brooklyn,Bedford-Stuyvesant,40.68141,-73.95841,Entire home/apt,400,7,9,0.2,2,365,188,5.322539114745014
Brooklyn,Park Slope,40.68049,-73.97662,Private room,65,8,7,0.15,1,11,310,4.363451336769668
Brooklyn,Williamsburg,40.70891,-73.94161,Private room,70,3,8,0.17,2,0,189,5.45819081827521
Brooklyn,Bushwick,40.70414,-73.92888,Private room,85,2,24,0.58,1,0,793,6.587582654493328
Manhattan,Gramercy,40.73764,-73.9819,Entire home/apt,200,1,0,0.0,1,0,3025,3.4284912605812154
Brooklyn,Prospect-Lefferts Gardens,40.66037,-73.95901,Entire home/apt,68,2,7,0.15,1,0,1079,7.048168538217781
Brooklyn,Williamsburg,40.71326,-73.9542,Private room,50,10,0,0.0,1,0,3025,4.377348137594687
Brooklyn,Gowanus,40.6798,-73.98231,Entire home/apt,130,1,4,0.08,1,0,1330,4.175921882923619
Manhattan,Chelsea,40.73925,-74.0,Entire home/apt,215,3,94,2.02,1,8,45,2.980653931633569
Manhattan,East Village,40.72528,-73.97882,Entire home/apt,165,4,38,0.8,1,0,23,2.6822537709853904
Manhattan,East Village,40.72361,-73.98395,Private room,100,1,6,0.12,1,0,1429,2.2163105032274393
Brooklyn,Bedford-Stuyvesant,40.68558,-73.9281,Entire home/apt,85,3,1,0.02,1,0,1345,7.244570843569895
Brooklyn,Carroll Gardens,40.67541,-73.99812,Private room,75,1,0,0.0,1,0,3025,4.205165625230885
Brooklyn,Crown Heights,40.68073,-73.96369,Entire home/apt,105,2,15,0.31,1,0,1084,5.046868654574007
Brooklyn,Bushwick,40.69696,-73.93433,Entire home/apt,100,5,71,1.54,1,238,46,6.307037969225526
Manhattan,Hell's Kitchen,40.75864,-73.99056,Entire home/apt,499,3,149,3.11,1,201,7,5.254897957015171
Manhattan,Chelsea,40.74582,-73.99472,Private room,195,1,0,0.0,1,0,3025,3.7886242553619125
Brooklyn,South Slope,40.66266,-73.98885,Entire home/apt,150,3,4,0.09,1,0,647,5.753573806392141
Manhattan,Upper East Side,40.78235,-73.95058,Private room,54,25,4,0.08,1,0,1103,9.03100508689711
Brooklyn,Williamsburg,40.71802,-73.95228,Entire home/apt,250,1,1,0.03,1,0,1164,4.575990656833627
Brooklyn,Bedford-Stuyvesant,40.69127,-73.93983,Private room,40,1,23,0.56,1,365,63,6.081872761688816
Queens,Astoria,40.767,-73.93051,Entire home/apt,95,4,1,0.03,1,0,1096,8.768313496076736
Manhattan,Financial District,40.70862,-74.01408,Entire home/apt,169,30,3,0.09,121,364,214,0.8256196853768308
Queens,Astoria,40.7573,-73.92773,Private room,75,1,0,0.0,1,0,3025,8.254261532774173
Manhattan,Hell's Kitchen,40.76432,-73.99396,Entire home/apt,175,4,19,0.43,1,343,40,5.81092093788117
